img_id,dataset,route,level,score,reason,parse_tier,issues,active_skills,skill_scores
10022844623.jpg,koniq,r25,,3.5828,"S-GLOBAL(3.9): Strong composition with Ferris wheel and cable cars; slight backlighting glare, but overall visually pleasing and acceptable. | S-TECH(2.9): Moderate motion blur on Ferris wheel and gondolas; slight noise in shadows; sun glare causes highlight clipping; overall softness reduces fine detail. | S-AESTH(4.1): Strong backlighting creates dramatic silhouette of Ferris wheel; balanced composition with leading lines from gondolas; cool blue palette harmonizes with sky; minor clutter in midground.",1,exposure|composition,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 2.9, ""S-GLOBAL"": 3.9}"
10029841663.jpg,koniq,r25,,3.7787,"S-GLOBAL(4.0): Clear, well-lit image of bottles with legible labels; minor background blur and slight glare on glass, but overall visually pleasing and acceptable. | S-TECH(4.1): Minor softness and slight noise in shadows; edges crisp, no compression artifacts or color cast; exposure even with no clipping. | S-AESTH(2.9): Ordinary composition with centered bottles; flat lighting; green/orange labels clash slightly; no strong visual hierarchy or depth.",1,composition|exposure,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 2.9, ""S-TECH"": 4.1, ""S-GLOBAL"": 4.0}"
10031298826.jpg,koniq,r25,,3.787,"S-GLOBAL(4.0): Strong composition and contrast; minor grain and slight edge noise are barely noticeable, overall impression is good. | S-TECH(2.9): Heavy noise in dark areas, crushed shadows in tunnel walls, and slight blur around window edges reduce clarity despite good contrast. | S-AESTH(4.8): Strong circular composition with leading lines; dramatic chiaroscuro lighting; monochrome harmony; clear visual hierarchy to the window.",1,exposure|composition|blur,S-TECH|S-GLOBAL|S-AESTH,"{""S-TECH"": 2.9, ""S-GLOBAL"": 4.0, ""S-AESTH"": 4.8}"
10059344614.jpg,koniq,r25,,3.7787,"S-GLOBAL(4.0): Fresh, well-lit popcorn in a white bowl; minor background clutter and slight overexposure don’t detract from overall appeal. | S-TECH(4.1): Crisp popcorn edges and textures; slight softness in shadows; no noise, artifacts, or white balance issues; exposure well-balanced. | S-AESTH(2.9): Ordinary composition with centered subject; natural light lacks drama; neutral color palette; background cluttered but not distracting; no strong visual hierarchy.",1,composition|exposure,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 2.9, ""S-TECH"": 4.1, ""S-GLOBAL"": 4.0}"
10067457634.jpg,koniq,r25,,4.3812,"S-GLOBAL(4.8): Warm, inviting rustic dining room with consistent lighting, clean tables, and cozy decor; no flaws or distractions. | S-TECH(4.1): Minor softness and slight noise in shadows; edges crisp overall, no compression artifacts or color cast. | S-AESTH(4.1): Warm wood tones and soft overhead lighting create inviting harmony; balanced composition with clear visual hierarchy; minor clutter in background slightly reduces impact.",1,exposure|color|composition,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 4.1, ""S-GLOBAL"": 4.8}"
10068778516.jpg,koniq,r25,,4.0598,"S-GLOBAL(4.0): Clear, well-composed image of stone building under blue sky; minor noise and slight softness, but overall pleasing and natural. | S-TECH(4.1): Crisp stone textures and roof tiles; slight softness in shadows, minor noise in sky; no clipping, neutral white balance, no visible artifacts. | S-AESTH(4.1): Strong diagonal composition, natural light modeling stone texture, harmonious earthy tones; minor clutter from foliage edges.",1,composition|exposure,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 4.1, ""S-GLOBAL"": 4.0}"
10079711433.jpg,koniq,r25,,4.264,"S-GLOBAL(4.1): Warm, inviting lighting highlights cocktail; minor background blur and slight glare on glass are barely noticeable. | S-TECH(4.1): Crisp glass edges and liquid textures; slight softness in background; minimal noise; exposure well-balanced with no clipping; no visible artifacts or color cast. | S-AESTH(4.8): Strong composition with centered subject, dramatic low-key lighting enhances mood, warm color harmony, clear visual hierarchy and depth.",1,exposure|color|composition,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.8, ""S-TECH"": 4.1, ""S-GLOBAL"": 4.1}"
10133867305.jpg,koniq,r25,,3.787,"S-GLOBAL(4.0): Warm, atmospheric lighting enhances cathedral's grandeur; minor noise and slight color cast don't detract from overall beauty. | S-TECH(2.9): Strong warm color cast, crushed shadows, and soft focus; fine stone textures blurred, no visible noise or compression artifacts. | S-AESTH(4.8): Dramatic upward composition, warm golden light modeling stone, harmonious terracotta tones, rose window as focal point with strong visual hierarchy.",1,exposure|color|composition,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.8, ""S-TECH"": 2.9, ""S-GLOBAL"": 4.0}"
10178183416.jpg,koniq,r25,,4.636,"S-GLOBAL(4.8): Vibrant colors, clear sky, sharp details in foliage and architecture. No flaws or distractions. Strong, pleasing composition. | S-TECH(4.8): Crisp edges on tower and foliage, clean sky with no noise or compression artifacts, accurate white balance, even exposure with no clipping. | S-AESTH(4.1): Strong composition with tower centered against sky; vibrant autumn colors harmonize; clear visual hierarchy; only minor clutter from tree branches.",1,composition|color,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 4.8, ""S-GLOBAL"": 4.8}"
10187522803.jpg,koniq,r25,,4.636,"S-GLOBAL(4.8): Vibrant colors, clear sky, sharp focus, balanced composition—no flaws; strong positive first impression. | S-TECH(4.8): Crisp edges on balloons, no noise or blur; even exposure with no clipping; neutral white balance; no compression artifacts or chromatic aberration. | S-AESTH(4.1): Strong composition with balanced placement; vibrant, harmonious colors against clear blue sky; lighting is even and natural; visual hierarchy clearly emphasizes the balloons.",1,composition|color,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 4.8, ""S-GLOBAL"": 4.8}"
