img_id,dataset,route,level,score,reason,parse_tier,issues,active_skills,skill_scores
10001.jpg,spaq,r3,,6.5176,S-GLOBAL(7.2): Good overall impression; vibrant mural and lighting create engaging ambiance. Minor glare from lights and slight underexposure in corners are barely noticeable. | S-TECH(5.2): Crushed shadows and uneven exposure; visible noise in dark areas; slight blur on fine textures like wall mural details. | S-NATURAL(7.2): Subtle over-sharpening near light sources; minor HDR glow around lamps; otherwise natural textures and colors with no plastic or oversaturated areas.,1,exposure|noise|composition,S-NATURAL|S-TECH|S-GLOBAL,"{""S-NATURAL"": 7.2, ""S-TECH"": 5.2, ""S-GLOBAL"": 7.2}"
10002.jpg,spaq,r3,,6.0033,"S-GLOBAL(7.2): Soft focus on foreground flower, but natural lighting and composition create pleasant greenhouse scene; minor blur doesn't ruin overall appeal. | S-TECH(5.2): Moderate blur on main flower, visible noise in shadows, slight exposure issues in greenhouse cover; fine textures softened but discernible. | S-AESTH(5.2): Ordinary composition with central bloom; flat greenhouse lighting; muted pink/green palette; cluttered branches obscure focus; no strong visual hierarchy.",1,blur|exposure|composition,S-TECH|S-GLOBAL|S-AESTH,"{""S-TECH"": 5.2, ""S-GLOBAL"": 7.2, ""S-AESTH"": 5.2}"
10003.jpg,spaq,r3,,4.4835,"S-GLOBAL(5.2): Blurry and grainy, with overexposed screen glare and dim ambient lighting; flaws noticeable but image remains identifiable and functional. | S-TECH(3.1): Severe motion blur and noise; edges smeared, fine text unreadable, heavy grain in dark areas, crushed shadows, and overexposed screen. | S-NATURAL(5.2): Noticeable over-smoothing on surfaces and slight HDR glow around lights; textures appear soft but not plastic. No severe halos or oversaturation.",1,blur|exposure|noise,S-GLOBAL|S-NATURAL|S-TECH,"{""S-GLOBAL"": 5.2, ""S-NATURAL"": 5.2, ""S-TECH"": 3.1}"
10004.jpg,spaq,r3,,2.7,"S-GLOBAL(3.2): Severe motion blur dominates, obscuring details and text; image appears shaky and unprofessional, making content hard to discern. | S-NATURAL(3.2): Severe motion blur dominates; no sharpening/HDR/oversaturation artifacts, but image is heavily processed by blur, making it artificial and unnatural. | S-AESTH(1.2): Severe motion blur obscures all details; chaotic composition with no clear subject or visual hierarchy; lighting and color harmony indiscernible.",1,blur|composition,S-AESTH|S-GLOBAL|S-NATURAL,"{""S-AESTH"": 1.2, ""S-GLOBAL"": 3.2, ""S-NATURAL"": 3.2}"
10005.jpg,spaq,r3,,1.2,"S-GLOBAL(1.2): Severe blur dominates entire image; no discernible details or focus; unacceptable for any viewing purpose. | S-TECH(1.2): Severe blur across entire image; no discernible edges or textures. Content barely recognizable due to extreme defocus. | S-NATURAL(1.2): Severe over-smoothing and blur dominate; textures are lost, surfaces appear waxy and indistinct, indicating heavy noise reduction or extreme defocus.",1,blur,S-GLOBAL|S-NATURAL|S-TECH,"{""S-GLOBAL"": 1.2, ""S-NATURAL"": 1.2, ""S-TECH"": 1.2}"
10006.jpg,spaq,r3,,5.2,"S-GLOBAL(5.2): Dull lighting and muted colors make image flat; reflections are soft but overall impression is tolerable with no major defects. | S-TECH(5.2): Moderate blur across entire image, especially in foliage and bridge details; noticeable noise in dark water areas; exposure is flat with crushed shadows. | S-AESTH(5.2): Ordinary composition with flat, overcast lighting; muted color harmony; reflections add subtle interest but lack visual hierarchy or strong focal point.",1,blur|exposure|color,S-TECH|S-GLOBAL|S-AESTH,"{""S-TECH"": 5.2, ""S-GLOBAL"": 5.2, ""S-AESTH"": 5.2}"
10007.jpg,spaq,r3,,6.7714,"S-GLOBAL(9.2): Vibrant red berries and glossy green leaves create a striking, natural composition with excellent color contrast and clarity. | S-NATURAL(3.2): Oversaturation: berries appear neon-pink, unnatural; over-sharpening: crunchy texture on leaves and stems; slight halos around edges. | S-AESTH(7.2): Vibrant red berries against dark green leaves create strong color harmony and visual hierarchy; composition is dense but balanced; lighting is even, enhancing natural sheen without harshness.",1,color|processing|composition,S-AESTH|S-NATURAL|S-GLOBAL,"{""S-AESTH"": 7.2, ""S-NATURAL"": 3.2, ""S-GLOBAL"": 9.2}"
10008.jpg,spaq,r3,,6.5176,"S-GLOBAL(7.2): Clear night cityscape with moon, good lighting balance, minor noise in dark areas, overall pleasing and acceptable. | S-TECH(5.2): Moderate noise in shadows and sky, slight softness in building edges, minor motion blur on moving vehicles, but no severe artifacts or exposure clipping. | S-NATURAL(7.2): Subtle HDR enhancement in highlights; moon and streetlights show slight bloom, but no halos or oversaturation. Textures remain natural.",1,exposure|noise|color,S-TECH|S-NATURAL|S-GLOBAL,"{""S-TECH"": 5.2, ""S-NATURAL"": 7.2, ""S-GLOBAL"": 7.2}"
10009.jpg,spaq,r3,,6.472,"S-GLOBAL(7.2): Soft focus and muted colors, but overall pleasant cherry blossom scene with natural composition; minor flaws easily overlooked. | S-TECH(5.2): Moderate blur and noise in flower details; soft edges on branches; slight banding in sky; overall detail loss reduces clarity. | S-AESTH(7.2): Soft, natural light enhances delicate blossoms; balanced composition with branches framing blooms; harmonious whites, grays, and muted greens; slight clutter in midground.",1,blur|exposure|color,S-TECH|S-GLOBAL|S-AESTH,"{""S-TECH"": 5.2, ""S-GLOBAL"": 7.2, ""S-AESTH"": 7.2}"
10010.jpg,spaq,r3,,3.1402,"S-GLOBAL(3.2): Severe blur dominates, making details indistinct; overall impression is poor and annoying, though content is recognizable. | S-TECH(3.1): Severe blur across entire image; edges and textures indistinct. No visible noise or artifacts, but focus failure dominates. | S-AESTH(3.1): Severe blur obscures composition and lighting; cluttered stacks lack visual hierarchy; flat, overcast light fails to model subject; dull color harmony.",1,blur|exposure|composition,S-TECH|S-GLOBAL|S-AESTH,"{""S-TECH"": 3.1, ""S-GLOBAL"": 3.2, ""S-AESTH"": 3.1}"
