img_id,img_mos,img_mos_z
10007357496.jpg,3.47916666666667,0.687285714285714
10007903636.jpg,3.78125,0.786285714285714
10009096245.jpg,3.92660550458716,0.7724375000000001
100117038.jpg,3.83,0.7511249999999999
10012398043.jpg,3.33980582524272,0.651495327102804
10013822223.jpg,3.58181818181818,0.6830625
10014002683.jpg,3.4811320754717,0.647627118644068
10017119924.jpg,3.42342342342342,0.6622435897435901
10020766793.jpg,4.08256880733945,0.8150624999999999
10020891105.jpg,3.13725490196078,0.568297413793103
10022757465.jpg,3.67619047619048,0.710154867256637
10027545463.jpg,3.74509803921569,0.7282798165137611
10027582235.jpg,3.82242990654206,0.771377118644068
10031913154.jpg,3.48507462686567,0.705
10039534103.jpg,3.69158878504673,0.76075
10041870415.jpg,3.45192307692308,0.664210526315789
10043785683.jpg,3.56603773584906,0.7120432692307691
10047832035.jpg,3.65346534653465,0.718
10048365153.jpg,3.07920792079208,0.580929203539823
10050349236.jpg,2.20588235294118,0.309418103448276
10058760545.jpg,1.62,0.152293577981651
10061596254.jpg,3.1588785046729,0.5964189189189191
10068507976.jpg,3.1,0.576548672566372
10069534975.jpg,3.67592592592593,0.737222222222222
10071864114.jpg,3.74107142857143,0.7190909090909091
10075168775.jpg,3.72277227722772,0.7477857142857139
10077468576.jpg,3.66037735849057,0.738152173913043
10077880165.jpg,2.19444444444444,0.312256637168142
10082923485.jpg,2.95192307692308,0.532260869565217
10086300493.jpg,3.51456310679612,0.683026315789474
100882570.jpg,3.41414141414141,0.654747899159664
10089027076.jpg,1.87037037037037,0.230785714285714
10089177336.jpg,3.73267326732673,0.7294594594594599
10091520555.jpg,2.30188679245283,0.336443965517241
10093057603.jpg,3.38235294117647,0.634955752212389
10094235786.jpg,3.27,0.6215596330275229
10110458216.jpg,3.37,0.647293577981651
10111411235.jpg,1.69911504424779,0.18470588235294103
10113730664.jpg,3.47286821705426,0.688125
10115071674.jpg,3.73394495412844,0.72775
10118773964.jpg,3.03960396039604,0.530733944954128
10121813934.jpg,3.35238095238095,0.653980582524272
10125013364.jpg,2.19083969465649,0.312711538461538
10126177964.jpg,3.59633027522936,0.7090789473684209
10126857344.jpg,3.51754385964912,0.687331932773109
10130566006.jpg,3.68867924528302,0.7195
10131980434.jpg,3.19259259259259,0.610279850746269
10134737015.jpg,3.00934579439252,0.545903361344538
10140071304.jpg,3.27184466019417,0.625576923076923
10147970884.jpg,3.81081081081081,0.768561946902655
10153847086.jpg,3.1651376146789,0.5923125
10154367094.jpg,3.58119658119658,0.741120689655172
10154991453.jpg,3.57142857142857,0.7418548387096771
10155925686.jpg,2.97087378640777,0.528798076923077
101601008.jpg,3.32,0.610875
10164654253.jpg,2.97,0.529220183486239
